일자,자원,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
2021-02-12,태양광,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1.19,18.5,54.78,60.75,58.58,47.17,59.3,68.56,44.99,25.49,5.03,6.07,6.19,1.22,0.36,0.63,0.2
2021-02-12,풍력,16.74,9.12,6.81,6.86,2.47,8.89,14.51,22.3,20.44,22.26,28.17,43.82,24.96,8.6,5.14,7.78,7.89,6.03,11.99,14.31,16.49,15.99,8.81,7.59
2021-02-13,태양광,0.19,0.21,0.05,0.0,0.0,0.0,0.0,0.85,16.1,60.8,92.35,117.72,142.65,165.13,176.13,137.89,86.98,22.97,6.25,8.29,7.05,4.37,1.12,0.21
2021-02-13,풍력,6.68,4.02,10.49,17.0,19.68,32.61,18.61,8.87,10.24,3.61,0.16,0.54,4.35,7.81,5.71,11.83,8.11,2.85,3.66,2.41,1.98,0.29,0.34,0.15
2021-02-14,태양광,0.23,0.27,0.26,0.26,0.2,0.14,0.0,0.57,8.63,26.15,50.81,90.93,71.68,62.78,39.48,19.62,8.04,6.43,6.17,5.57,1.94,0.51,0.11,0.0
2021-02-14,풍력,0.02,0.0,0.13,2.13,3.5,6.77,5.02,3.74,1.83,1.0,1.31,3.06,3.52,5.99,20.06,18.78,14.49,19.7,24.92,14.78,36.52,46.61,56.12,38.63
2021-02-15,태양광,0.0,0.07,0.06,0.0,0.0,0.0,0.0,0.27,6.18,16.73,21.4,23.68,38.14,94.4,135.58,118.56,67.91,21.26,5.65,2.85,0.95,0.19,0.01,0.0
2021-02-15,풍력,13.27,20.07,53.77,104.03,153.09,183.77,156.49,172.73,209.48,192.09,198.42,197.06,181.28,172.61,137.1,147.13,171.61,183.5,208.5,235.95,235.92,220.17,204.53,200.2
2021-02-16,태양광,0.0,0.07,0.06,0.0,0.0,0.0,0.0,4.57,58.2,133.54,161.36,188.18,196.73,192.16,176.6,105.46,39.43,5.99,6.34,8.77,7.5,4.91,1.04,0.2
2021-02-16,풍력,176.59,173.42,181.73,184.64,158.8,159.25,113.92,50.07,21.03,13.41,18.24,15.57,38.29,54.84,70.17,159.7,151.4,151.93,156.99,169.09,180.74,178.3,206.09,205.44
2021-02-17,태양광,0.22,0.26,0.26,0.26,0.2,0.19,0.07,1.72,17.13,38.3,64.73,76.02,86.03,77.33,59.47,52.41,29.31,10.33,4.34,8.42,4.54,0.49,0.21,0.06
2021-02-17,풍력,186.75,183.21,193.75,180.55,177.22,191.57,186.96,185.45,174.59,186.29,194.17,184.4,191.08,207.58,207.43,199.81,203.69,193.45,199.52,184.44,180.57,174.98,182.44,162.96
2021-02-18,태양광,0.0,0.07,0.04,0.0,0.02,0.01,0.0,0.93,12.84,28.64,50.41,69.32,66.98,47.8,58.1,43.12,21.56,7.36,4.3,5.34,2.48,2.53,0.72,0.0
2021-02-18,풍력,149.57,142.44,139.19,149.9,152.33,165.5,160.57,160.93,160.96,169.89,171.96,174.28,184.07,185.48,194.78,197.78,204.49,201.85,217.04,224.43,215.3,192.01,175.54,157.36
2021-02-19,태양광,0.0,0.07,0.04,0.0,0.02,0.0,0.0,5.79,61.45,134.1,179.03,208.64,220.14,219.62,198.41,160.65,103.3,33.17,4.93,6.56,6.34,7.22,3.56,1.47
2021-02-19,풍력,148.07,141.36,133.8,137.39,116.84,113.62,117.23,107.63,73.09,42.09,33.11,23.74,20.47,25.65,30.69,39.92,40.01,36.06,40.84,65.85,86.53,102.07,105.36,116.25
2021-02-20,태양광,0.24,0.27,0.27,0.26,0.23,0.24,0.09,5.18,50.38,112.82,155.45,188.19,205.1,206.15,188.41,147.86,91.24,28.73,4.92,8.78,6.36,7.09,2.57,0.28
2021-02-20,풍력,91.04,106.3,146.39,173.1,173.89,191.94,177.59,169.22,113.17,114.65,108.57,65.89,42.11,33.03,39.27,84.4,81.99,56.45,65.95,74.72,91.2,117.57,102.03,91.54
2021-02-21,태양광,0.32,0.27,0.27,0.26,0.23,0.24,0.09,5.77,57.57,126.85,170.08,200.01,212.76,213.77,198.4,161.41,101.79,33.23,5.01,8.77,8.5,6.21,1.43,0.26
2021-02-21,풍력,96.93,110.54,113.38,94.49,92.1,114.65,107.09,91.14,68.63,66.97,57.45,17.22,13.15,12.5,12.84,35.48,90.85,111.37,127.9,136.99,107.75,98.44,77.75,74.5
2021-02-22,태양광,0.22,0.27,0.26,0.26,0.23,0.24,0.09,6.2,55.3,118.49,160.4,189.39,201.61,200.13,180.44,138.76,72.25,23.32,4.75,6.55,6.32,7.19,3.62,1.49
2021-02-22,풍력,94.91,100.71,105.29,61.02,31.89,29.52,14.71,29.76,47.32,30.62,55.43,61.27,32.14,26.4,70.05,83.95,161.94,175.36,180.44,185.07,218.64,193.88,186.65,193.06
2021-02-23,태양광,0.21,0.31,0.26,0.26,0.23,0.24,0.09,9.02,68.83,144.61,183.33,198.36,202.76,211.34,182.9,145.54,76.1,20.04,5.02,6.56,6.34,7.16,3.5,1.49
2021-02-23,풍력,171.91,165.96,165.88,165.09,189.01,190.5,193.81,195.88,146.52,136.29,118.69,92.81,48.38,44.74,66.83,124.97,107.84,95.13,102.83,127.47,118.45,113.58,101.29,80.99
2021-02-24,태양광,0.21,0.27,0.31,0.26,0.23,0.24,0.09,7.3,59.59,126.84,169.03,197.09,209.11,202.4,175.17,140.63,81.76,24.34,5.66,6.55,6.23,7.17,3.57,1.55
2021-02-24,풍력,64.27,83.48,100.34,101.37,75.29,81.16,62.02,74.67,35.55,8.88,19.86,23.05,35.68,41.1,58.49,40.88,30.23,27.02,28.43,25.26,20.5,15.59,10.85,15.19
2021-02-25,태양광,0.21,0.27,0.29,0.26,0.23,0.24,0.09,5.73,51.06,72.92,77.33,80.68,61.16,46.77,29.41,16.45,12.13,2.67,3.83,3.33,3.6,1.76,0.22,0.0
2021-02-25,풍력,20.05,19.05,9.39,9.46,6.38,23.49,23.93,34.24,25.17,38.41,43.96,44.21,49.61,82.98,125.65,120.21,98.03,108.74,164.27,164.41,186.45,176.75,163.71,154.11
2021-02-26,태양광,0.0,0.06,0.0,0.0,0.02,0.03,0.01,0.8,12.15,26.1,25.18,52.8,71.42,65.08,64.1,50.05,27.08,7.24,4.24,6.56,4.39,0.83,0.06,0.01
2021-02-26,풍력,136.97,141.44,162.05,154.65,152.81,194.65,193.89,202.16,209.15,214.74,207.17,197.68,198.66,210.52,207.54,210.62,206.28,204.16,222.05,218.04,207.89,188.32,196.79,193.22
2021-02-27,태양광,0.01,0.08,0.08,0.04,0.01,0.0,0.01,2.38,21.48,64.38,104.11,104.71,94.75,85.67,61.14,25.95,12.13,6.4,4.28,6.51,4.11,3.25,1.89,0.21
2021-02-27,풍력,178.03,178.73,189.99,190.98,188.25,195.32,181.18,180.64,180.56,181.95,179.97,174.08,184.41,189.58,183.05,174.61,167.98,162.02,178.7,179.89,145.52,132.29,110.96,111.27
2021-02-28,태양광,0.01,0.08,0.07,0.0,0.03,0.03,0.01,2.62,24.46,33.9,83.94,77.25,56.56,53.75,58.49,43.66,16.14,6.18,4.24,6.16,7.17,3.75,0.6,1.08
2021-02-28,풍력,91.63,81.95,76.37,68.75,69.19,75.81,55.1,42.75,42.9,45.9,67.27,59.12,51.86,48.07,48.56,45.23,31.01,35.26,54.03,63.71,81.91,83.6,85.61,98.82
2021-03-01,태양광,0.18,0.01,0.0,0.0,0.05,0.1,0.07,0.79,5.41,10.08,16.89,19.4,20.7,19.88,12.17,8.5,6.89,2.2,1.28,1.07,0.14,1.3,0.07,0.0
2021-03-01,풍력,99.41,112.44,123.76,126.22,136.0,139.8,145.46,126.02,160.76,187.6,185.29,167.04,184.66,187.79,186.03,152.16,113.63,73.06,88.85,127.35,174.11,193.21,190.02,184.18
2021-03-02,태양광,0.0,0.0,0.0,0.0,0.0,0.01,0.01,1.8,14.42,55.86,128.22,200.73,216.74,209.95,197.5,169.87,114.96,43.98,6.1,8.4,8.09,5.78,1.4,0.38
2021-03-02,풍력,162.78,162.64,168.85,174.98,177.24,197.42,175.77,174.87,184.89,191.73,195.05,150.49,109.6,116.82,136.28,148.99,173.52,160.65,157.52,149.55,136.45,86.19,49.82,31.37
2021-03-03,태양광,0.24,0.2,0.19,0.19,0.19,0.29,0.18,9.43,49.13,111.85,152.37,168.09,160.83,144.45,115.79,108.64,79.63,34.33,5.46,6.39,6.08,6.74,3.5,1.37
2021-03-03,풍력,16.89,13.19,16.72,25.76,26.99,28.23,8.52,6.15,7.5,13.62,13.03,19.56,18.67,22.16,22.89,18.2,24.44,24.15,32.82,27.45,15.7,9.7,7.7,10.63
2021-03-04,태양광,0.22,0.2,0.19,0.19,0.25,0.29,0.15,1.03,5.64,29.04,28.64,27.14,25.31,16.96,12.65,9.1,4.63,1.3,2.35,0.83,0.06,0.83,0.02,0.01
2021-03-04,풍력,10.65,13.47,13.11,11.96,14.2,16.61,13.45,4.63,1.33,1.81,2.12,3.81,5.43,9.56,36.93,63.53,79.81,96.34,123.14,165.22,178.54,183.69,188.84,159.46
